Country,totalSeqs
ABW,4166
AFG,115
AGO,1336
AIA,108
ALB,1659
AND,392
ARE,7219
ARG,21663
ARM,186
ASM,161
ATG,278
AUS,227511
AUT,109002
AZE,191
BDI,145
BEL,182518
BEN,1302
BFA,692
BGD,7699
BGR,21577
BHR,11479
BHS,361
BIH,1576
BLM,14
BLR,500
BLZ,1196
BMU,313
BOL,530
BRA,245864
BRB,354
BRN,6921
BTN,183
BWA,5243
CAF,215
CAN,574478
CHE,164479
CHL,47343
CHN,70778
CIV,979
CMR,2081
COD,1429
COG,704
COK,161
COL,28094
COM,42
CPV,1042
CRI,12248
CUB,7
CUW,2366
CYM,387
CYP,7799
CZE,61818
DEU,940261
DJI,1011
DMA,32
DNK,660069
DOM,3382
DZA,915
ECU,11676
EGY,4541
ESP,254005
EST,14877
ETH,721
FIN,51938
FJI,529
FRA,595238
FRO,42
GAB,748
GBR,3028608
GEO,3608
GHA,5119
GIB,2748
GIN,914
GLP,2373
GMB,1385
GNB,49
GNQ,212
GRC,38612
GRD,208
GTM,5535
GUF,5645
GUM,980
GUY,144
HKG,17122
HND,412
HRV,45395
HTI,822
HUN,1148
IDN,53718
IND,246049
IRL,110689
IRN,3519
IRQ,1080
ISL,23368
ISR,152676
ITA,190320
JAM,4185
JOR,1591
JPN,647905
KAZ,4232
KEN,13193
KGZ,323
KHM,4012
KIR,135
KNA,73
KOR,156170
KWT,1352
LAO,2203
LBN,2922
LBR,110
LBY,164
LCA,345
LIE,1962
LKA,3820
LSO,286
LTU,43215
LUX,58812
LVA,27242
MAC,1
MAR,2117
MCO,103
MDA,925
MDG,879
MDV,1284
MEX,92755
MHL,42
MKD,1193
MLI,306
MLT,888
MMR,216
MNE,1142
MNG,2597
MNP,3605
MOZ,1926
MRT,54
MSR,28
MTQ,3013
MUS,8771
MWI,1413
MYS,44479
MYT,1234
NAM,848
NCL,73
NER,363
NGA,7553
NIC,1044
NIU,27
NLD,175198
NOR,79677
NPL,3426
NZL,45305
OMN,1350
PAK,6845
PAN,6944
PER,54470
PHL,29397
PLW,76
PNG,4545
POL,95204
PRI,25572
PRT,49348
PRY,3553
PSE,183
PYF,85
QAT,6165
REU,21643
ROU,21573
RUS,83707
RWA,779
SAU,1962
SDN,548
SEN,5806
SGP,47042
SLB,356
SLE,126
SLV,952
SOM,50
SRB,2381
SSD,170
STP,11
SUR,1116
SVK,48089
SVN,87569
SWE,276135
SWZ,1146
SXM,2759
SYC,1545
SYR,108
TCA,71
TCD,91
TGO,1094
THA,37647
TLS,349
TON,91
TTO,5021
TUN,2889
TUR,102687
TWN,4836
TZA,29
UGA,1950
UKR,5827
URY,1227
USA,4998881
UZB,116
VCT,256
VEN,1475
VGB,186
VIR,2313
VNM,9334
VUT,104
WLF,10
WSM,55
ZAF,55128
ZMB,1587
ZWE,1009
